Key,Year,Quarter,Month
2000,2007,1,1
2001,2007,1,2
2002,2007,1,3
2003,2007,2,4
2004,2007,2,5
2005,2007,2,6
2006,2007,3,7
2007,2007,3,8
2008,2007,3,9
2009,2007,4,10
2010,2007,4,11
2011,2007,4,12
2012,2008,1,1
2013,2008,1,2
2014,2008,1,3
2015,2008,2,4
2016,2008,2,5
2017,2008,2,6
2018,2008,3,7
2019,2008,3,8
2020,2008,3,9
2021,2008,4,10
2022,2008,4,11
2023,2008,4,12
2024,2009,1,1
2025,2009,1,2
2026,2009,1,3
2027,2009,2,4
2028,2009,2,5
2029,2009,2,6
2030,2009,3,7
2031,2009,3,8
2032,2009,3,9
2033,2009,4,10
2034,2009,4,11
2035,2009,4,12
2036,2010,1,1
2037,2010,1,2
2038,2010,1,3
2039,2010,2,4
2040,2010,2,5
2041,2010,2,6
2042,2010,3,7
2043,2010,3,8
2044,2010,3,9
2045,2010,4,10
2046,2010,4,11
2047,2010,4,12
2048,2011,1,3
